Longitude,Latitude,Sample_ID,Elevation,Slope,AR,TWI,HCP1,PRP1,HCP2,PRP2,NDVI,NDRE,TC,K40,U238,Th232,pH,SOM,P,K,Mg,Ca,Zn,Mn,CEC,SatK,SatMg,SatCa,RatioKMg
-80.178862,43.578165,1,333.42,4.02,311.36,5.79,5.78,5.33,2.26,4.6,0.74,0.52,353.77,328.78,14.09,20.54,7.3,3.6,36,179,351,1881,3.8,17.4,14,3.3,21,67,0.5
-80.179515,43.577646,2,333.84,10.65,315.82,3.76,6.25,4.57,3.18,4.1,0.74,0.53,356.34,318.58,16.36,21.65,7.5,3.2,30,173,366,1639,5.4,19.1,13,3.4,24,64,0.5
-80.179998,43.577291,3,333.75,9.95,315.68,3.86,6.33,4.89,4.26,4.46,0.74,0.51,372.8,361.32,18.34,20.47,7.4,2.9,33,180,289,1456,4.5,20.5,11,4.1,21,64,0.6
-80.180553,43.576904,4,333.74,11.55,316.9,3.88,6.45,5.1,2.42,4.52,0.72,0.48,380.89,361.46,19.86,21.19,7.5,2.3,37,143,236,1602,4.5,19,12,3.2,17,69,0.6
-80.180847,43.576563,5,334.63,10.43,320.11,4.94,5.89,4.15,2.09,3.67,0.62,0.39,355.49,293.32,25.79,19.74,7.5,2.9,23,120,301,1567,2.8,17.1,12,2.6,21,66,0.4
-80.180496,43.576345,6,336.81,3.09,285.37,5.75,4.54,3.56,1.57,2.93,0.61,0.41,378.2,395.47,6.94,20.66,7.1,3.6,53,138,268,1607,2.7,13.5,12,3,19,68,0.5
-80.180053,43.576547,7,337.9,2.36,298.42,5.56,4.75,3.16,1.38,2.7,0.71,0.48,380.99,366.96,13.77,21.57,7.4,3.6,37,157,257,1830,4.4,15.4,13,3.1,17,71,0.6
-80.179463,43.57696,8,338.13,2.15,307.15,5.78,4.56,3.12,3.31,2.69,0.72,0.49,383.75,360.5,19.07,22,7.4,3.6,24,157,254,1876,4,13.6,13,3.1,16,72,0.6
-80.179059,43.577381,9,338.12,2.85,304.48,5.81,4.51,2.98,2.38,2.52,0.69,0.47,371.65,342.04,17.33,23.02,7.4,4,26,158,286,1991,3.8,16.1,14,2.9,17,71,0.6
-80.178445,43.577776,10,337.89,1.13,355.92,6.75,4.5,3.48,1.82,3.06,0.69,0.49,370.17,355.98,15.87,19.91,7.4,3.6,24,164,249,1761,2.8,15.1,12,3.4,17,70,0.7
-80.178043,43.577334,11,337.35,0.78,115.44,6.92,5.32,2.89,3.2,3.77,0.79,0.55,388.45,359.29,15.8,22.75,6.5,2.9,28,150,154,1301,2.1,13.2,9,4.1,14,69,1
